RenComp7_metadata,,,,,,,
File Name,Composer Given Name,Composer Surname,Musical Work Name,Section Name,Genre,Sacred/Secular,Collection Name
Giovanni_Pierluigi_da_Palestrina/Beatus_Laurentius_Benedictus_5.mid,Giovanni Pierluigi da,Palestrina,Missa Beatus Laurentius,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Beatus_Laurentius_Credo_5.mid,Giovanni Pierluigi da,Palestrina,Missa Beatus Laurentius,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Beatus_Laurentius_Gloria_5.mid,Giovanni Pierluigi da,Palestrina,Missa Beatus Laurentius,Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Beatus_Laurentius_Kyrie_5.mid,Giovanni Pierluigi da,Palestrina,Missa Beatus Laurentius,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Beatus_Laurentius_Sanctus_5.mid,Giovanni Pierluigi da,Palestrina,Missa Beatus Laurentius,Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Benedicta_es_Agnus_I_6.mid,Giovanni Pierluigi da,Palestrina,Missa Benedicta es,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Benedicta_es_Agnus_II_6.mid,Giovanni Pierluigi da,Palestrina,Missa Benedicta es,Agnus II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Benedicta_es_Benedictus_5.mid,Giovanni Pierluigi da,Palestrina,Missa Benedicta es,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Benedicta_es_Credo_6.mid,Giovanni Pierluigi da,Palestrina,Missa Benedicta es,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Benedicta_es_Gloria_6.mid,Giovanni Pierluigi da,Palestrina,Missa Benedicta es,Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Benedicta_es_Kyrie_6.mid,Giovanni Pierluigi da,Palestrina,Missa Benedicta es,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Benedicta_es_Kyrie_II_6.mid,Giovanni Pierluigi da,Palestrina,Missa Benedicta es,Kyrie II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Benedicta_es_Sanctus_6.mid,Giovanni Pierluigi da,Palestrina,Missa Benedicta es,Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Brevis_Agnus_I_4.mid,Giovanni Pierluigi da,Palestrina,Missa Brevis,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Brevis_Agnus_II_5.mid,Giovanni Pierluigi da,Palestrina,Missa Brevis,Agnus II ,Mass,Sacred,RenComp7
